RunId,iteration,Step,green,yellow,red,total,cumulative_distance,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,cleaned,steps_executed,disposed_green,disposed_yellow,disposed_red,disposed_total,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,width,height,exploration_share_interval_steps,policy_profile_green,policy_profile_yellow,policy_profile_red,seed,config,distance_stagnation
0,0,47,0,1,0,1,8,46.0,,21.0,,,False,47,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,48,0,1,0,1,8,46.0,,21.0,,,False,48,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,49,0,1,0,1,8,46.0,,21.0,,,False,49,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,50,0,1,0,1,8,46.0,,21.0,,,False,50,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,51,0,1,0,1,8,46.0,,21.0,,,False,51,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,52,0,1,0,1,8,46.0,,21.0,,,False,52,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,53,0,1,0,1,8,46.0,,21.0,,,False,53,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,54,0,1,0,1,7,46.0,,21.0,,,False,54,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,55,0,1,0,1,6,46.0,,21.0,,,False,55,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
0,0,56,0,1,0,1,5,46.0,,21.0,,,False,56,2,2,4,8,3,3,3,4,4,4,8,8,30,widespread,widespread,widespread,1000,"A(g3,y3,r3)-W(g4,y4,r4)-G(8x8)-P(gwidespread,ywidespread,rwidespread)",False
